model_name,dataset_name,model_params
MultiLayerPerceptron,articularywordrecognition,1162025
MultiLayerPerceptron,basicmotions,803504
MultiLayerPerceptron,cricket,4098512
MultiLayerPerceptron,natops,1116506
MultiLayerPerceptron,racketsports,593504
MultiLayerPerceptron,atrialfibrillation,1143003
MultiLayerPerceptron,standwalkjump,5503003
MultiLayerPerceptron,eigenworms,54456005
FullyConvolutionalNetwork1DGAP,articularywordrecognition,276121
FullyConvolutionalNetwork1DGAP,basicmotions,270340
FullyConvolutionalNetwork1DGAP,cricket,271372
FullyConvolutionalNetwork1DGAP,natops,289030
FullyConvolutionalNetwork1DGAP,racketsports,270340
FullyConvolutionalNetwork1DGAP,atrialfibrillation,266115
FullyConvolutionalNetwork1DGAP,standwalkjump,268163
FullyConvolutionalNetwork1DGAP,eigenworms,270469
FullyConvolutionalNetwork1DLateGAP,articularywordrecognition,809881
FullyConvolutionalNetwork1DLateGAP,basicmotions,534532
FullyConvolutionalNetwork1DLateGAP,cricket,536588
FullyConvolutionalNetwork1DLateGAP,natops,2140166
FullyConvolutionalNetwork1DLateGAP,racketsports,534532
FullyConvolutionalNetwork1DLateGAP,atrialfibrillation,530179
FullyConvolutionalNetwork1DLateGAP,standwalkjump,1060355
FullyConvolutionalNetwork1DLateGAP,eigenworms,799109
FullyConvolutionalNetwork1DIntermediateGAP,articularywordrecognition,802713
FullyConvolutionalNetwork1DIntermediateGAP,basicmotions,533636
FullyConvolutionalNetwork1DIntermediateGAP,cricket,534668
FullyConvolutionalNetwork1DIntermediateGAP,natops,2132102
FullyConvolutionalNetwork1DIntermediateGAP,racketsports,533636
FullyConvolutionalNetwork1DIntermediateGAP,atrialfibrillation,529411
FullyConvolutionalNetwork1DIntermediateGAP,standwalkjump,1058051
InceptionTimeIntermediate,atrialfibrillation,814915
InceptionTimeIntermediate,standwalkjump,1317123
InceptionTimeIntermediate,racketsports,954244
InceptionTimeIntermediate,articularywordrecognition,1277657
InceptionTimeIntermediate,basicmotions,954244
InceptionTimeIntermediate,cricket,955276
InceptionTimeIntermediate,natops,2878726
InceptionTimeLate,atrialfibrillation,1127619
InceptionTimeLate,standwalkjump,2255235
InceptionTimeLate,racketsports,1267076
InceptionTimeLate,articularywordrecognition,1908697
InceptionTimeLate,basicmotions,1267076
InceptionTimeLate,cricket,1269132
InceptionTimeLate,natops,5070342
LITEIntermediate,atrialfibrillation,18123
LITEIntermediate,standwalkjump,34739
LITEIntermediate,racketsports,27116
LITEIntermediate,articularywordrecognition,40597
LITEIntermediate,basicmotions,27116
LITEIntermediate,cricket,27380
LITEIntermediate,natops,103910
LITELate,atrialfibrillation,19627
LITELate,standwalkjump,39251
LITELate,racketsports,28652
LITELate,articularywordrecognition,45013
LITELate,basicmotions,28652
LITELate,cricket,29172
LITELate,natops,115110
LITE,atrialfibrillation,12055
LITE,standwalkjump,16535
LITE,racketsports,21048
LITE,articularywordrecognition,28461
LITE,basicmotions,21048
LITE,cricket,21312
LITE,natops,61434
InceptionTime,atrialfibrillation,633347
InceptionTime,standwalkjump,633475
InceptionTime,racketsports,633732
InceptionTime,articularywordrecognition,636633
InceptionTime,basicmotions,633732
InceptionTime,cricket,634764
InceptionTime,natops,635142
LITE,coffee,9749
